"fid","ART","NAME_DT","BHD","HOEHE","class","n_staemme","gwGruppe","a","b","c","RSfac","biomass","carbonmass","co2mass"
175,"Laubbaum","Amerikanischer Amberbaum",20,10.5,"Eiche",1,5,0.067,1.938,0.638,0.22,121.71652303791,60.8582615189551,223.349819774565
176,"Laubbaum","Amerikanischer Amberbaum",17,8.5,"Eiche",1,4,0.067,1.938,0.638,0.22,77.6271993020278,38.8135996510139,142.445910719221
192,"Laubbaum","Winterlinde",19,8.2,"Buche",1,6,0.058,2.034,0.637,0.2,106.094650852203,53.0473254261016,194.683684313793
193,"Laubbaum","Hainbuche",27,10.7,"Buche",1,6,0.058,2.034,0.637,0.2,256.874268389079,128.437134194539,471.36428249396
194,"Laubbaum","Hainbuche",31,11.8,"Buche",1,6,0.058,2.034,0.637,0.2,362.099365259842,181.049682629921,664.452335251809
195,"Laubbaum","Hainbuche",25,11.7,"Buche",1,6,0.058,2.034,0.637,0.2,232.516411206119,116.25820560306,426.667614563229
196,"Laubbaum","Hainbuche",30,12.9,"Buche",1,6,0.058,2.034,0.637,0.2,358.525060011699,179.262530005849,657.893485121467
197,"Laubbaum","Winterlinde",17,8.5,"Buche",1,4,0.058,2.034,0.637,0.2,86.5729469871491,43.2864734935745,158.861357721419
198,"Laubbaum","Winterlinde",16,8.6,"Buche",1,4,0.058,2.034,0.637,0.2,77.1018498285936,38.5509249142968,141.481894435469
199,"Laubbaum","Winterlinde",16,7.7,"Buche",1,4,0.058,2.034,0.637,0.2,71.85944791555,35.929723957775,131.862086925034
200,"Laubbaum","Feldahorn",14,6.5,"Eiche",1,4,0.067,1.938,0.638,0.22,44.9023931468199,22.4511965734099,82.3958914244145
201,"Laubbaum","Feldahorn",12,7,"Eiche",1,2,0.067,1.938,0.638,0.22,34.9188906290926,17.4594453145463,64.0761643043849
202,"Laubbaum","Hainbuche",14,10.1,"Buche",1,4,0.058,2.034,0.637,0.2,65.1008080634408,32.5504040317204,119.459982796414
203,"Laubbaum","Hainbuche",7,5.8,"Buche",1,1,0.058,2.034,0.637,0.2,11.1645772980369,5.58228864901845,20.4869993418977
204,"Laubbaum","Hainbuche",6,5.6,"Buche",1,1,0.058,2.034,0.637,0.2,7.97929747226408,3.98964873613204,14.6420108616046
205,"Laubbaum","Hainbuche",10,8,"Buche",1,2,0.058,2.034,0.637,0.2,28.3059386679428,14.1529693339714,51.9413974556751
