fid,STRINGGUID,KODIERUNG,BAUMNR,TYP,GEFAELLT_A,ART,PFLEGE,KD,CREATE_BY,CHANGE_BY,CREATE_DAT,CHANGE_DAT,Rechtswert,Hochwert,Baumart_la,Sorte,Bewaesseru,Baumalter,GA_NR,GA_NAME,Pflanzdatu,id,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
153,{0391F614-8AF9-4668-981A-2BDD84C192DA},,"1.01209",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/09,3470709.28,5442899.18,Prunus serrulata,Kanzan,"0",18 Jahre,1/001/012,Stadtgrabenstraße,20.12.2005 00:00:00,1,,,,,,BHD < 0.05 m
154,{2EC234B9-4E8F-4D58-A6C1-F824AEE1B83D},,"1.01213",B,,Laubbaum,False,2,,bruchsal_baum,,2024/01/24,3470693.96,5442883.99,Liriodendron tulipifera,,"1",4 Jahre,1/001/012,Stadtgrabenstraße,15.01.2024 00:00:00,1,Tulpenbaum,Liriodendron tulipifera,0.06,1.3,5.1,"3 qm, Spontanbewuchs"
155,{EBBFFA89-AAD0-477D-B05C-D082AFCF827C},,"1.00802",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470646.38,5443107.37,TILIA CORDATA,Greenspire,"0",21 Jahre,1/001/009,Kirchplatz,01.01.2003 00:00:00,1,Winterlinde,Tilia cordata,0.18,7.2,8.6,"4 qm, Betonrigole mit Stammgitter "
156,{C652E19D-FFE5-4023-9E95-6FE57B88DF61},,"1.00801",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470652.43,5443121.22,TILIA CORDATA,Greenspire,"0",20 Jahre,1/001/009,Kirchplatz,01.01.2003 00:00:00,1,Winterlinde,Tilia cordata,0.15,5,7.6,"4 qm, Betonrigole mit Stammgitter"
157,{565BE2F1-5957-457C-BB5C-BC88A9C6DA67},1:007119,"1.007119",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,0,0,Carpinus betulus,,"3",8 Jahre,1/001/008,Bürgerpark,11.08.2014,1,Hainbuche,Carpinus betulus,0.11,6.2,8,3 Stämme a 0.11 m
158,{D755430C-4CB0-4F3A-A8B4-8A5D88F409B7},,"1.33712",B,,Laubbaum,True,10,,bruchsal_baum,,2024/01/18,3470849.77,5442889.24,TILIA CORDATA,Greenspire,"0",113 Jahre,1/001/083,Durlacher Str.,01.01.1911 00:00:00,1,Winterlinde,Tilia cordata,0.29,11,14.6,4 qm Rigole
159,{C363C564-AE0E-45EE-A573-E8699EE1BA52},,"1.33713",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470861.53,5442891.28,TILIA CORDATA,Greenspire,"0",113 Jahre,1/001/083,Durlacher Str.,01.01.1911 00:00:00,1,Winterlinde,Tilia cordata,0.19,7,9.7,4 qm Rigole
160,{98E349AC-9C56-430B-A0E0-C330ADC2D279},,"1.33714",B,,Laubbaum,False,7,,bruchsal_baum,,2024/01/18,3470872.12,5442894.78,TILIA CORDATA,Greenspire,"0",113 Jahre,1/001/083,Durlacher Str.,01.01.1911 00:00:00,1,Winterlinde,Tilia cordata,0.2,8.5,9.4,4 qm Rigole
161,{46754199-40A8-4E3F-925F-C98861BF641E},,"1.31646",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470879.36,5442951.58,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.2,4,4.2,"4 qm, Kies, Kopfbaum"
162,{0740CE89-1247-4513-B1EC-8C11B1D0E256},,"1.31647",B,,Laubbaum,False,4,,bruchsal_baum,,2024/01/18,3470883.08,5442954.94,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.16,4,4.1,"4 qm, Rigole, Kopfbaum"
163,{4E0F4228-BE77-4F14-8653-ED744954AFE3},,"1.31648",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470886.7,5442958.12,Platanus x acerifolia,,"0",20 Jahre,1/001/068,Fußgängerzone mit Schönbornplatz,09.05.2003 00:00:00,1,Platane,Platanus x acerifolia,0.16,4,4.2,"4 qm, Rigole, Kopfbaum"
